file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,167,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,168,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,169,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,6
style.css,170,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,17
style.css,171,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,172,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,173,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,4
style.css,174,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,10
style.css,175,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,71
style.css,176,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,0,0
style.css,177,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,0,0
style.css,178,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,0,29
style.css,179,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,0,13
style.css,180,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,46
style.css,181,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,8
style.css,182,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,10
style.css,183,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,16
style.css,184,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,23
style.css,185,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,0,0
style.css,186,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,0,0
style.css,187,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,0,20
style.css,188,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,15
style.css,189,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,15
style.css,190,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,17
style.css,191,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,36
style.css,192,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,23
style.css,193,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,16
style.css,194,css,63fbc88e,Marco,2025-10-17,19:39:49,-07:00,2025-10-17T19:39:49-07:00,0,0
style.css,195,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,0
style.css,196,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,18
style.css,197,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,14
style.css,198,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,16
style.css,199,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,46
style.css,200,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,0
style.css,201,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,0
style.css,202,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,51
style.css,203,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,9
style.css,204,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,12
style.css,205,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,8
style.css,206,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,18
style.css,207,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,54
style.css,208,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,0
style.css,209,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,0
style.css,210,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,16
style.css,211,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,7
style.css,212,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,12
style.css,213,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,58
style.css,214,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,16
style.css,215,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,14
style.css,216,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,15
style.css,217,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,24
style.css,218,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,19
style.css,219,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,15
style.css,220,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,0
style.css,221,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,0
style.css,222,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,19
style.css,223,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,10
style.css,224,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,12
style.css,225,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,18
style.css,226,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,9
style.css,227,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,16
style.css,228,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,0
style.css,229,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,0
style.css,230,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,16
style.css,231,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,0,15
style.css,232,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,62
style.css,233,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,12
style.css,234,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,13
style.css,235,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,18
style.css,236,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,17
style.css,237,css,de3bcc14,Marco,2025-10-31,21:39:01,-07:00,2025-10-31T21:39:01-07:00,1,63
